Tweet,Compound_Score,Sentiments
"choose whether to open a pandemic concert, an epic concert, high, the promoter is really professional, watch it with lope lope bando tuing tuing anarchist santuy, orderly according to the time of the concert, meet & greet, wear a mask",0.3182,Positif
I saw jamet took off the mask,0.0,Netral
take off the mask to the space,0.0,Netral
"My friend is having fun when you wear a mask when you take it off, it's okay, it's not too good, isn't it zonk",0.7179,Positif
"pregnant home from campus, changing bathing clothes, boarding friends are pushing hard",0.4019,Positif
"The rest is just taking off the mask, the million views",0.0,Netral
"It's gone yesterday, took off the mask",0.0,Netral
take off the mask,0.0,Netral
mmps handsome masala mo swami take off the mask of demen dh bejibun especially cem hdeh,0.4939,Positif
"kwkw it's comfortable, just take off the mask",0.5106,Positif
"sonnalisa, please tell your friends to play at the beach, please take the mask off the mask is already wet and still wear it",0.8442,Positif
"gin, event, hobby, party, take off mask, drink, eat, eat, yoongi, fever, decides to come, take care of fear, CVD PCR, fever goes down, normal activities",0.4019,Positif
"Pgn confident like taking off public masks, it's hard to be confident and beautiful",0.9081,Positif
"the end of the jogja tour is the alumni tour, you know when you take the photo you don't take your mask off",0.0,Netral
"gesss seriously asking if you have taken off your mask, taken off your mask, you are surprised that the carriage has no work, thank you",-0.4784,Negatif
"askrl gesss seriously asking if you have taken off your mask, taken off your mask, you are surprised that the carriage has no work thanks",-0.5277,Negatif
"win event tb take off the mask, are you afraid of getting lips?",0.5859,Positif
"Oh, rolling, friends, it's really cool, it's fun to get to know each other again after a while wearing a mask, sometimes it's really comfortable",0.9161,Positif
Is it true that you wear a mask instead of taking it off?,0.4215,Positif
I take off my house mask except when I eat and drink,0.0,Netral
why don't you take off the mask at least gt yaa,0.2732,Positif
"take off the mask, sister, let vvibu",0.0,Netral
"When you use a motorbike, take off the mask, it's easy to wear",0.4404,Positif
Wes really don't need to take off the mask at the meet up,0.0,Netral
"Thank God, flu, inflammation of the week, white flag, it's been a long time for stubborn sports to take off your mask. Just stop by. Inflammation of the PCR meeting, Thursday, yesterday, thank God, it's negative",-0.4588,Negatif
gurl likes to take off the mask open area ets worry youth body mist appear confident youth beliagurlzzone belialife bodymist,0.4767,Positif
"now you have to get used to wearing a mask because you forget to take off your mask, it's already gone, ma bestie",-0.2263,Negatif
"when wearing a mask, take off the mask and obey",0.0,Netral
"suitcase until it's just the courier until the courier screams mb the suitcase just screams and tells me to bring it until I check the ticket, I ask you to take off the mask, use it",-0.5267,Negatif
"Yes, you know, you can close the mask now after a while when it's time for prayer, the HBS is immediately used",0.4019,Positif
"on serious note, just take off the mask, it's already weird, just tell me to wear a mask, don't use green lights",-0.25,Negatif
weeeh nguproy meet instead wew worry about nguproy outdoor still don't worry about daring to take off the mask on nguproy to hold back eating snacking drinking nguproy,-0.3826,Negatif
"Asking for an offline interview, taking off the mask doesn't work, sorry for calling for an interview",-0.0716,Negatif
"It's really, fortunately the mask didn't come off, thank you for the sponsor mask",-0.2755,Negatif
The people told the president to wear the president's mask and remove the crowd mask,0.0,Netral
"ci the fanboy took the photo of the misuh, the misuhin took off the mask, took the photo of the tiktoker lmao",0.5994,Positif
take off the mask if you wear a protective mask dear,0.3818,Positif
"It sucks being said to wear a mask, take off the class mask",-0.3612,Negatif
"Yes, friends like China in Surabaya, at first, when you see the photo, believe it, you see your face, tell them to take off the mask, look at your face",0.8074,Positif
"whatever, often wear a calf mask, take off the mask",0.0,Netral
"ignorant people, ignorant healthy protocols, booster vaccines, surge ojo",-0.128,Negatif
hahaha jakarta has a high rise in covid taking off masks,0.5574,Positif
very insecure acne inflammation tell me to remove the mask,-0.4754,Negatif
Usually Jaehyun takes off the mask and puts the sleeve on,0.0,Netral
omg honestly you're so handsome when you take off your mask,0.7574,Positif
"Ya Allah, take a photo after removing the mask and look at the face of the pillow",0.0,Netral
"wake up, take a shower, tell me to leave, tell me to take a photo and take off the mask",-0.0516,Negatif
JB WTA As Seller Prelved Loreal Paris Revitalift Ino Lepas Yaa Essence Bru Pack Day Cream Bru Pack Mask MSH MW Bru Pack,0.0,Netral
"spill full face without mask, just when it's time for photobar, you have to take off your mask to show off, you can't hide your identity",0.1326,Positif
The people tell the president to wear the president's mask and remove the crowd's mask,0.0,Netral
"tomorrow, after the ceremony, the mask is removed, oh if you know your face likes it, please if you still like to give up",0.765,Positif
"actually reporters, sensi fromis, don't want to take off their aegyo masks, think they're arrogant at the level of tara bities",-0.5302,Negatif
"make a competition on the busway train, get off the mask, get a prize, don't let it go, just take a breath, it's hard to find women",0.4404,Positif
"PSBB has been relaxed until now, but after entering, where are other offices wearing masks, but still wearing masks?",0.2732,Positif
"kr still masks don't send retail, friends don't wear masks, sender wears, there's no free business, of course the sender is confused, actually, he really took off the mask",-0.7619,Negatif
then say let me take off the mask ma'am,0.0,Netral
"hanging, why are you told to take it off, it's fine, just wear a mask, you can just take it off, bro",0.2023,Positif
"Yesterday's waiting room put on a mask when I saw it, just take off the mask, take off the mask",0.0,Netral
"know the user has taken off the mask during the interview process, nder",0.0,Netral
"hexa the teaching year don't take off the mask, sis, sis",0.0,Netral
"room for removing masks, room for wearing masks",0.0,Netral
